132 640 19982010
51.5 0.15 11 83 0.073 -0.22 0.64 0
52 0.1 0 36 0.59 0 0.65 0
52 0.85 10 74 0.13 0 0.35 0.4
52.0 0.15 11 78 0.073 0.22 0.6767 0
52.5 0.05 2 42 0.055 -0.2 0.65 0
52.5 0.31 6 47 0.37 0 0.39 0
52.5 0.15 11 86 0.073 -0.22 0.6767 0
53 0.1 0 36 0.59 0 0.65 0
53 0.1 1 39 0.27 0 0.65 0
53 0.4 10 73 0.1222 0 0.35 0.4
53.0 0.15 11 74 0.073 0.22 0.6767 0
53.5 0.05 2 42 0.055 -0.2 0.65 0
53.5 0.31 6 47 0.31 0 0.39 0
53.5 0.65 10 74 0.1222 0 0.35 0.4
53.5 0.15 11 78 0.073 -0.22 0.6767 0
54 0.1 0 36 0.59 0 0.65 0
54.0 0.15 11 71 0.073 0.22 0.6767 0
54.25 1.5 10 78 0.1222 0 0.35 0.4
54.5 0.05 2 42 0.055 -0.2 0.65 0
54.5 0.31 6 47 0.37 0 0.39 0
54.5 0.15 11 78 0.073 -0.22 0.6767 0
55 0.1 0 36 0.59 0 0.65 0
55 0.1 1 39 0.27 0 0.65 0
55.0 0.15 11 74 0.073 0.22 0.6767 0
55.5 0.05 2 42 0.055 -0.2 0.65 0
55.5 0.31 6 47 0.31 0 0.39 0
55.5 0.15 11 83 0.073 -0.22 0.6767 0
56 0.1 0 36 0.59 0 0.65 0
56 7.7 9 55 0.042 -0.55 0.4 0
56 7.7 9 59 0.042 -0.18 0.4 0
56 7.7 9 62 0.042 0.18 0.4 0
56 7.7 9 67 0.042 0.55 0.4 0
56 1.4 10 79 0.13 0 0.35 0.4
56.0 0.15 11 74 0.073 0.22 0.7133 0
56.5 0.05 2 42 0.055 -0.2 0.65 0
56.5 0.31 6 43 0.37 0 0.39 0
56.5 0.15 11 83 0.073 -0.22 0.7133 0
57 0.1 0 36 0.59 0 0.65 0
57 0.1 1 39 0.27 0 0.65 0
57.0 0.15 11 71 0.073 0.22 0.7133 0
57.5 0.05 2 42 0.055 -0.2 0.65 0
57.5 0.31 6 43 0.31 0 0.39 0
57.5 0.85 10 76 0.1222 0 0.35 0.4
57.5 0.15 11 74 0.073 -0.22 0.7133 0
58 0.1 0 36 0.59 0 0.65 0
58.0 0.15 11 67 0.073 0.22 0.7133 0
58.5 0.05 2 42 0.055 -0.2 0.65 0
58.5 0.31 6 43 0.37 0 0.39 0
58.5 1.2 10 73 0.1222 0 0.35 0.4
58.5 0.15 11 74 0.073 -0.22 0.7133 0
59 0.1 0 36 0.59 0 0.65 0
59 0.1 1 39 0.27 0 0.65 0
59.0 0.15 11 71 0.073 0.22 0.7133 0
59.5 0.05 2 42 0.055 -0.2 0.65 0
59.5 0.31 6 43 0.31 0 0.39 0
59.5 0.15 11 79 0.073 -0.22 0.7133 0
60 0.1 0 36 0.59 0 0.65 0
60 0.85 10 76 0.13 0 0.35 0.4
60.0 0.15 11 74 0.073 0.22 0.75 0
60.5 0.05 2 42 0.055 -0.2 0.65 0
60.5 0.31 6 43 0.37 0 0.39 0
60.5 0.15 11 83 0.073 -0.22 0.75 0
61 0.1 0 36 0.59 0 0.65 0
61 0.1 1 39 0.27 0 0.65 0
61 0.85 10 74 0.1222 0 0.35 0.4
61.0 0.15 11 71 0.073 0.22 0.75 0
61.5 0.05 2 42 0.055 -0.2 0.65 0
61.5 0.31 6 43 0.31 0 0.39 0
61.5 0.15 11 74 0.073 -0.22 0.75 0
62 0.1 0 36 0.59 0 0.65 0
62 0.65 10 73 0.1222 0 0.35 0.4
62.0 0.15 11 67 0.073 0.22 0.75 0
62.5 0.05 2 42 0.055 -0.2 0.65 0
62.5 0.31 6 43 0.37 0 0.39 0
62.5 0.15 11 74 0.073 -0.22 0.75 0
63 0.1 0 36 0.59 0 0.65 0
63 0.1 1 39 0.27 0 0.65 0
63.0 0.15 11 71 0.073 0.22 0.75 0
63.25 0.5 10 69 0.1222 0 0.35 0.4
63.5 0.05 2 42 0.055 -0.2 0.65 0
63.5 0.31 6 43 0.31 0 0.39 0
63.5 0.15 11 79 0.073 -0.22 0.75 0
64 0.1 0 36 0.59 0 0.65 0
64 7.7 9 50 0.042 -0.55 0.4 0
64 7.7 9 54 0.042 -0.18 0.4 0
64 7.7 9 57 0.042 0.18 0.4 0
64 7.7 9 62 0.042 0.55 0.4 0
64.0 0.15 11 62 0.073 0.22 0.28 0
64.25 0.05 2 42 0.05112 -0.25 0.65 0
64.5 0.1 3 46 0.095 0.2 0.65 0
64.5 0.31 6 38 0.37 0 0.39 0
64.5 0.15 11 69 0.073 -0.22 0.28 0
64.75 0.05 2 42 0.06629 -0.25 0.65 0
65 0.1 0 36 0.59 0 0.65 0
65 0.1 1 39 0.27 0 0.65 0
65.0 0.15 11 66 0.073 0.22 0.28 0
65.25 0.05 2 42 0.0448 -0.25 0.65 0
65.5 0.1 3 46 0.095 0.2 0.65 0
65.5 0.31 6 38 0.31 0 0.39 0
65.5 0.15 11 74 0.073 -0.22 0.28 0
65.75 0.05 2 42 0.05432 -0.25 0.65 0
66 0.1 0 36 0.59 0 0.65 0
66.0 0.15 11 69 0.073 0.22 0.28 0
66.25 0.05 2 42 0.04545 -0.25 0.65 0
66.5 0.1 3 46 0.095 0.2 0.65 0
66.5 0.31 6 38 0.37 0 0.39 0
66.5 0.15 11 78 0.073 -0.22 0.28 0
66.75 0.05 2 42 0.06564 -0.25 0.65 0
67 0.1 0 36 0.59 0 0.65 0
67 0.1 1 39 0.27 0 0.65 0
67.0 0.15 11 66 0.073 0.22 0.28 0
67.25 0.05 2 42 0.05159 -0.25 0.65 0
67.5 0.1 3 46 0.095 0.2 0.65 0
67.5 0.31 6 38 0.31 0 0.39 0
67.5 0.15 11 69 0.073 -0.22 0.28 0
67.75 0.05 2 42 0.05684 -0.25 0.65 0
68 0.1 0 36 0.59 0 0.65 0
68.0 0.15 11 62 0.073 0.22 0.28 0
68.25 0.05 2 42 0.05236 -0.25 0.65 0
68.5 0.1 3 46 0.095 0.2 0.65 0
68.5 0.31 6 38 0.37 0 0.39 0
68.5 0.15 11 69 0.073 -0.22 0.28 0
68.75 0.05 2 42 0.06112 -0.25 0.65 0
69 0.1 0 36 0.59 0 0.65 0
69 0.1 1 39 0.27 0 0.65 0
69.0 0.15 11 66 0.073 0.22 0.28 0
69.25 0.05 2 42 0.04638 -0.25 0.65 0
69.5 0.1 3 46 0.095 0.2 0.65 0
69.5 0.31 6 38 0.31 0 0.39 0
69.5 0.15 11 74 0.073 -0.22 0.28 0
69.75 0.05 2 42 0.05711 -0.25 0.65 0
70 0.1 0 36 0.59 0 0.65 0
70.0 0.15 11 69 0.073 0.22 0.28 0
70.25 0.05 2 42 0.04473 -0.25 0.65 0
70.5 0.1 3 46 0.095 0.2 0.65 0
70.5 0.31 6 38 0.37 0 0.39 0
70.5 0.15 11 78 0.073 -0.22 0.28 0
70.75 0.05 2 42 0.05389 -0.25 0.65 0
71 0.1 0 36 0.59 0 0.65 0
71 0.1 1 39 0.27 0 0.65 0
71.0 0.15 11 66 0.073 0.22 0.28 0
71.25 0.05 2 42 0.04743 -0.25 0.65 0
71.5 0.1 3 46 0.095 0.2 0.65 0
71.5 0.31 6 38 0.31 0 0.39 0
71.5 0.15 11 69 0.073 -0.22 0.28 0
71.75 0.05 2 42 0.06769 -0.25 0.65 0
72 0.1 0 36 0.59 0 0.65 0
72 7.7 9 57 0.042 -0.55 0.4 0
72 7.7 9 61 0.042 -0.18 0.4 0
72 7.7 9 64 0.042 0.18 0.4 0
72 7.7 9 69 0.042 0.55 0.4 0
72.0 0.15 11 69 0.073 0.22 0.28 0
72.25 0.05 2 42 0.04854 -0.25 0.65 0
72.5 0.1 3 46 0.095 0.2 0.65 0
72.5 0.31 6 45 0.37 0 0.39 0
72.5 0.15 11 76 0.073 -0.22 0.28 0
72.75 0.05 2 42 0.05878 -0.25 0.65 0
73 0.1 0 36 0.59 0 0.65 0
73 0.1 1 39 0.27 0 0.65 0
73.0 0.15 11 73 0.073 0.22 0.28 0
73.25 0.05 2 42 0.04842 -0.25 0.65 0
73.5 0.1 3 46 0.095 0.2 0.65 0
73.5 0.31 6 45 0.31 0 0.39 0
73.5 0.15 11 81 0.073 -0.22 0.28 0
73.75 0.05 2 42 0.06733 -0.25 0.65 0
74 0.1 0 36 0.59 0 0.65 0
74.0 0.15 11 76 0.073 0.22 0.28 0
74.25 0.05 2 42 0.04934 -0.25 0.65 0
74.5 0.1 3 46 0.095 0.2 0.65 0
74.5 0.31 6 45 0.37 0 0.39 0
74.5 0.15 11 85 0.073 -0.22 0.28 0
74.75 0.05 2 42 0.06362 -0.25 0.65 0
75 0.1 0 36 0.59 0 0.65 0
75 0.1 1 39 0.27 0 0.65 0
75.0 0.15 11 73 0.073 0.22 0.28 0
75.25 0.05 2 42 0.04146 -0.25 0.65 0
